file_path,pst_id,column_length,cut_length,phi,cut_depth,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-19688-caaml.xml,0,1000.0,300.0,34,1050.0,292.25,42.50435458798165,P,MFcr,,0.34822427626275576,0.3145034428260849,0.033720833436670886
data/snowpits/2019-2020/snowpits-20872-caaml.xml,0,1000.0,390.0,30,710.0,125.0,1.0127857821582387,F,SHxr,1.0,0.45540898145811304,0.4474251025631745,0.007983878894938531
data/snowpits/2019-2020/snowpits-24362-caaml.xml,1,1000.0,450.0,31,1010.0,269.12,29.571668209433856,1F+,FCxr,3.0,1.056336186872784,1.0051823144878496,0.05115387238493447
data/snowpits/2019-2020/snowpits-22256-caaml.xml,0,1200.0,350.0,38,1220.0,269.12,29.571668209433856,1F+,FCxr,,0.5465118801191645,0.43301425236870733,0.11349762775045723
data/snowpits/2019-2020/snowpits-23756-caaml.xml,0,1000.0,200.0,38,650.0,98.88,0.3610694569425981,F-,FCso,2.0,0.05506837378445715,0.04730822858099958,0.0077601452034575654
data/snowpits/2019-2020/snowpits-19043-caaml.xml,0,1000.0,450.0,29,590.0,125.0,1.0127857821582387,F,SH,6.0,0.6346385384209097,0.6337428835124951,0.0008956549084145873
data/snowpits/2019-2020/snowpits-19043-caaml.xml,1,1000.0,400.0,29,590.0,125.0,1.0127857821582387,F,SH,6.0,0.4398103665285462,0.4397501564738048,6.021005474141488e-05
data/snowpits/2019-2020/snowpits-19043-caaml.xml,2,1000.0,450.0,29,730.0,120.0,0.8462740448617735,F,FCso,1.5,0.7410543641783788,0.7387747832468913,0.0022795809314874907
data/snowpits/2019-2020/snowpits-19043-caaml.xml,3,1000.0,450.0,29,860.0,260.0,25.409508808153134,1F,DHxr,3.0,0.8839532254315513,0.8637621493419408,0.020191076089610425
data/snowpits/2019-2020/snowpits-20298-caaml.xml,0,1200.0,440.0,26,1200.0,292.25,42.50435458798165,1F,MFpc,2.0,1.10751858996129,1.0545980699972881,0.05292051996400192
data/snowpits/2019-2020/snowpits-18739-caaml.xml,0,1000.0,300.0,15,660.0,204.0,8.73949373506776,4F,FC,2.0,0.2533485592689572,0.252241618450886,0.0011069408180712354
data/snowpits/2019-2020/snowpits-21247-caaml.xml,0,1100.0,480.0,30,600.0,141.12,1.7270433427148753,F+,FCso,1.0,0.42733297199027875,0.42720252182992646,0.00013045016035228635
data/snowpits/2019-2020/snowpits-21247-caaml.xml,1,1100.0,460.0,30,600.0,272.86,31.423097127493396,P+,RGsr,,0.37304289086927184,0.3726880202410459,0.00035487062822592335
data/snowpits/2019-2020/snowpits-18484-caaml.xml,0,1000.0,400.0,0.0,950.0,120.0,0.8462740448617735,F,FCxr,,0.9674242166048819,0.9605494070867642,0.0068748095181176755
data/snowpits/2019-2020/snowpits-20949-caaml.xml,0,1000.0,370.0,22,500.0,184.0,5.550242516693784,4F,FCxr,1.0,0.30777262015517304,0.3074931703322063,0.0002794498229667398
data/snowpits/2019-2020/snowpits-20941-caaml.xml,0,1000.0,330.0,23,300.0,155.51,2.647586468122833,F,RG,1.0,0.17859512875635347,0.17076121170098782,0.007833917055365645
data/snowpits/2019-2020/snowpits-19873-caaml.xml,0,1000.0,310.0,10,360.0,125.0,1.0127857821582387,F,SH,,0.24213819924930005,0.2265811601231945,0.015557039126105541
data/snowpits/2019-2020/snowpits-19873-caaml.xml,1,1000.0,310.0,10,820.0,275.9,32.99294027132502,P,,,0.4060876192848572,0.40584359192665825,0.0002440273581989259
data/snowpits/2019-2020/snowpits-19873-caaml.xml,2,1000.0,420.0,10,1110.0,210.0,9.928381016949693,F,DHxr,,1.8252573041571751,1.8209673907554957,0.004289913401679354
data/snowpits/2019-2020/snowpits-18117-caaml.xml,0,900.0,370.0,33,280.0,173.18,4.2511220527893325,F+,FC,2.0,0.12276425060537009,0.12276422891229725,2.1693072831735388e-08
data/snowpits/2019-2020/snowpits-21594-caaml.xml,0,1000.0,470.0,38,980.0,260.0,25.409508808153134,1F,DH,3.0,1.512290697468109,1.3837533281100318,0.12853736935807716
data/snowpits/2019-2020/snowpits-18462-caaml.xml,0,1000.0,550.0,31,1060.0,125.0,1.0127857821582387,F,SHsu,2.0,3.761875667790425,3.651072964223391,0.11080270356703423
data/snowpits/2019-2020/snowpits-19307-caaml.xml,0,1000.0,220.0,23,390.0,125.0,1.0127857821582387,F,SH,3.0,0.09656830959890315,0.09569782477427198,0.0008704848246311773
data/snowpits/2019-2020/snowpits-19307-caaml.xml,1,1000.0,250.0,23,390.0,125.0,1.0127857821582387,F,SH,3.0,0.13347957676620054,0.13121802996755347,0.0022615467986470653
data/snowpits/2019-2020/snowpits-18337-caaml.xml,0,910.0,460.0,21,200.0,292.25,42.50435458798165,K,MFcr,,0.5218481752799785,0.4765029039698017,0.045345271310176745
data/snowpits/2019-2020/snowpits-20658-caaml.xml,0,1000.0,370.0,4,500.0,125.0,1.0127857821582387,F-,SHsu,2.0,0.43048657925582273,0.4047654668572957,0.02572111239852702
