file_path,pst_id,column_length,cut_length,phi,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-17844-caaml.xml,0,1000.0,350.0,32,125.0,1.0127857821582387,F,SH,4.0,0.5442632111796308,0.5368654176293585,0.007397793550272377
data/snowpits/2019-2020/snowpits-23077-caaml.xml,0,1000.0,350.0,20,204.0,8.73949373506776,4F,FC,2.0,0.30764153596966853,0.30677057042571854,0.0008709655439499921
data/snowpits/2019-2020/snowpits-19929-caaml.xml,1,1450.0,800.0,32,202.0738495144293,8.382200486413158,1F,RG,,3.8585154344507715,3.284649372761178,0.5738660616895935
data/snowpits/2019-2020/snowpits-22199-caaml.xml,0,1000.0,360.0,29,204.0,8.73949373506776,4F,FC,1.0,0.7275425549405999,0.6861935755367294,0.04134897940387046
data/snowpits/2019-2020/snowpits-27182-caaml.xml,0,1000.0,500.0,29,184.0,5.550242516693784,4F,FCso,2.0,1.0961140896521684,1.0652634998770025,0.030850589775165853
data/snowpits/2019-2020/snowpits-27182-caaml.xml,1,1000.0,300.0,29,210.0,9.928381016949693,F,DH,3.0,0.5800302640320517,0.5762024571555302,0.003827806876521463
data/snowpits/2019-2020/snowpits-18391-caaml.xml,0,1000.0,360.0,30,125.0,1.0127857821582387,4F+,SH,3.0,0.7370643851442457,0.734494100386602,0.0025702847576436314
data/snowpits/2019-2020/snowpits-20868-caaml.xml,0,1100.0,600.0,28,269.12,29.571668209433856,1F+,FCxr,1.0,1.6518573257714926,1.31532240260656,0.33653492316493255
data/snowpits/2019-2020/snowpits-18376-caaml.xml,0,1000.0,450.0,30,208.0,9.519019413471497,1F,,,0.7787579768901949,0.6038264057203045,0.1749315711698904
data/snowpits/2019-2020/snowpits-19325-caaml.xml,0,1400.0,500.0,25,204.0,8.73949373506776,4F,FC,3.0,1.3758972169148909,1.3554780708349248,0.02041914607996602
data/snowpits/2019-2020/snowpits-20072-caaml.xml,0,1000.0,400.0,4,120.0,0.8462740448617735,F,FCxr,1.5,0.29775422714627475,0.26783944908777413,0.029914778058500624
data/snowpits/2019-2020/snowpits-20072-caaml.xml,1,1000.0,530.0,4,248.0,20.639583747787405,1F,FCxr,2.0,0.5068683590829497,0.437473026241039,0.06939533284191067
data/snowpits/2019-2020/snowpits-20072-caaml.xml,2,1000.0,330.0,4,248.0,20.639583747787405,1F,FCxr,2.0,0.14423143765143284,0.13618809637114884,0.008043341280284003
data/snowpits/2019-2020/snowpits-20207-caaml.xml,0,1500.0,640.0,0.0,184.0,5.550242516693784,4F,FCso,,0.8335235760813898,0.7727688543550775,0.06075472172631234
data/snowpits/2019-2020/snowpits-17519-caaml.xml,0,1000.0,500.0,38,204.0,8.73949373506776,4F,FC,,0.6320921108533006,0.6035949475835433,0.028497163269757358
